"Bet","hora","dia_semana","perdio","Profit"
84.3457261058402,4,4,0,145.7574739428
57.6610270887613,0,4,1,-41.2054980290411
132.905486780674,21,6,1,-75.7888018633339
3.15773591083119,19,3,1,-1.84600584191862
5.62109760940075,8,5,1,-3.42188122276236
31.650121637771,7,1,0,11.2459043618926
31.4227292215297,1,7,1,-28.3769149658012
14.5266803912818,18,4,0,5.46643845156396
272.62364643297,22,7,0,145.091967100666
2.91534470825726,6,7,0,1.2408965130248
100.483005769075,6,7,0,62.2802660337816
48.0214727659774,8,4,1,-34.7384971367582
28.1013627536595,23,7,0,40.3185234862207
37.7117831067134,18,6,1,-27.074093485075
18.8284040894359,13,6,0,27.6432950121059
84.9786129738105,21,5,1,-44.9410676624708
156.32035396153,18,4,0,266.237792585328
47.8760416336555,12,2,0,60.3722211269423
59.0934835374355,19,6,1,-38.9595432443184
404.10117113725,8,2,1,-372.044592379019
84.3149731133774,9,7,0,81.4299982629822
96.5871211099339,9,3,0,175.016089618537
148.527579401807,3,3,0,141.571652160547
134.804448574306,10,5,1,-110.091389331436
116.852898425878,11,2,0,149.08313402658
160.585234305801,23,3,1,-116.652886698489
149.674286871197,3,2,1,-133.527485976785
157.065254689523,23,3,0,218.671314166107
3.17677439614759,18,3,1,-2.46015134130321
59.7849691286683,21,1,1,-50.1098991729747
216.783974547816,10,1,0,290.780981975702
50.6615728605539,16,1,0,49.3979593809777
25.9557817330072,5,3,1,-18.9114202121839
259.689211646531,13,1,0,124.249428378485
122.902573175253,12,2,1,-106.772269907027
79.0681758853507,12,3,1,-54.3901632764455
62.9280077759176,0,4,0,74.4695307979146
125.464100294784,8,1,0,219.840833477479
58.8684642221779,10,6,0,83.8719463491065
112.929003384912,14,5,1,-111.910054029958
42.0364802703261,18,5,1,-27.0552516581329
721.100757601571,21,7,0,1430.81646017437
84.5721965197537,8,1,1,-57.9962644781629
22.5542006548494,19,4,0,8.77897168701888
110.033881753207,0,6,0,208.659847717846
224.830569232502,8,2,1,-206.136154358398
136.373429927499,13,3,1,-93.9486956660329
57.6391668058932,4,2,0,29.7438451574119
272.527584979746,23,5,0,480.737297697349
131.216304260152,8,6,1,-114.126262850605
9.05913501196478,7,5,1,-4.55688401696649
30.6203850079328,4,6,1,-19.8411601903347
106.721306960554,22,7,1,-103.181699059553
31.3516255933791,1,5,1,-23.5995535152625
97.4640150512469,16,5,1,-90.034864110937
188.782331525328,11,2,0,193.11162784825
56.4588602632284,7,5,0,104.37663070062
257.69613290808,16,4,1,-174.12916882279
104.76957479313,8,6,1,-85.8418579339623
102.444134182752,14,7,1,-100.348878942117
102.786961564314,20,1,1,-91.4227355905783
28.4668460686903,20,5,1,-19.6282483329248
156.305188863518,23,3,0,175.061505315119
4.20882929716001,5,4,1,-3.15438353185616
9.86308898033934,4,3,0,12.246305307491
